experiment,run_id,step,states,paths,path_lengths,rooms,objects
plr-i,1y14r2wf,210,3.9265258,1.418745,2.4768841,4.3917913,12.174125
plr-i,1y14r2wf,310,4.155943,1.5926262,2.5543594,4.603648,12.074174
plr-i,1y14r2wf,410,4.1992946,1.7049128,2.5395112,4.657533,13.062272
plr-i,1y14r2wf,510,4.2061934,1.7039998,2.4293222,4.693016,13.266329
plr-i,1y14r2wf,610,4.248344,1.7960436,2.38548,4.901376,13.469512
plr-i,1y14r2wf,710,4.2508307,1.7825166,2.4232588,4.8339033,13.875561
plr-i,1y14r2wf,810,4.2431993,1.7940047,2.3470268,4.9177756,13.390247
plr-i,1y14r2wf,910,4.171815,1.7980156,2.3028193,5.0321913,14.028849
plr-i,1y14r2wf,1010,4.1951647,1.8028755,2.3141685,5.0992737,14.292946
plr-i,1y14r2wf,1110,4.103641,1.7583592,2.3064852,5.163272,14.595014
plr-i,1y14r2wf,1210,4.2631645,1.8574445,2.3131685,5.135006,14.437483
plr-i,1y14r2wf,1310,4.306661,1.8911512,2.3715463,5.1829634,14.760569
plr-i,1y14r2wf,1410,4.3519773,1.8766875,2.424922,5.055785,14.342016
plr-i,1y14r2wf,1510,4.4373093,1.8485495,2.5570202,5.095866,14.481767
plr-i,1y14r2wf,1610,4.383471,1.8668385,2.5564988,5.066978,14.63928
plr-i,1y14r2wf,1710,4.3318033,1.8841223,2.4765856,5.2140827,14.724122
plr-i,1y14r2wf,1810,4.3173347,1.8398176,2.5015984,5.0709615,14.811734
plr-i,1y14r2wf,1910,4.497786,1.8817949,2.6272612,5.144717,15.191827
plr-i,1y14r2wf,2010,4.4349985,1.8254516,2.6002424,5.278265,15.515051
plr-i,1y14r2wf,2110,4.3691454,1.938125,2.5649385,5.1881084,15.343611
plr-i,1y14r2wf,2210,4.4692507,1.9232701,2.5625017,5.269738,15.400525
plr-i,1y14r2wf,2310,4.523527,1.9199758,2.6395092,5.2728415,15.142412
plr-i,1y14r2wf,2410,4.4334903,1.8401921,2.6494033,5.2476664,15.332367
plr-i,1y14r2wf,2510,4.4789295,1.940872,2.5922399,5.1728854,15.31917
plr-i,1y14r2wf,2610,4.6226563,2.1161861,2.7296891,5.1664286,15.250914
plr-i,1y14r2wf,2710,4.5579286,1.9838756,2.6990132,5.1173515,15.313677
plr-i,1y14r2wf,2810,4.5303926,1.9537113,2.6945567,5.1597533,15.295666
plr-i,1y14r2wf,2910,4.6182947,2.1260114,2.741195,5.3042035,15.333288
plr-i,1y14r2wf,3000,4.676421,1.9452081,2.865468,5.3349814,15.139917
plr-i,ck67hg9v,10,3.4100885,1.2144291,2.188521,3.5249362,9.17206
plr-i,ck67hg9v,110,4.1312065,1.5044293,2.5463457,4.325287,11.552725
plr-i,ck67hg9v,210,4.058101,1.4868088,2.5760746,4.630317,12.596397
plr-i,ck67hg9v,310,4.0809884,1.5656216,2.5439858,4.7026253,12.813087
plr-i,ck67hg9v,410,4.0966477,1.606312,2.4899538,4.6962566,12.9862175
plr-i,ck67hg9v,510,4.07382,1.6420484,2.459715,4.5973415,13.132443
plr-i,ck67hg9v,610,4.1096535,1.7025282,2.459742,4.5643864,13.227321
plr-i,ck67hg9v,710,4.22989,1.7274419,2.4369228,4.8932667,13.911959
plr-i,ck67hg9v,810,4.328791,1.7384672,2.4674199,4.749487,13.720814
plr-i,ck67hg9v,910,4.2429314,1.7381531,2.3814557,4.880459,13.989817
plr-i,ck67hg9v,1010,4.3136764,1.8124877,2.4590883,5.107133,14.716752
plr-i,ck67hg9v,1110,4.2455893,1.8584448,2.3552227,5.0661993,14.727372
plr-i,ck67hg9v,1210,4.183695,1.8527615,2.3270469,5.173541,14.755847
plr-i,ck67hg9v,1310,4.2502303,1.868589,2.3154988,5.0787706,14.272646
plr-i,ck67hg9v,1410,4.4846296,1.909402,2.446902,5.2280054,14.478902
plr-i,ck67hg9v,1510,4.291689,1.8795253,2.3405418,5.202795,14.476482
plr-i,ck67hg9v,1610,4.399723,1.9206374,2.5178318,5.15654,14.462175
plr-i,ck67hg9v,1710,4.450112,1.8705027,2.497089,5.2301865,14.680745
plr-i,ck67hg9v,1810,4.5502787,1.9077866,2.6236293,5.1364183,14.552242
plr-i,ck67hg9v,1910,4.562229,1.9119527,2.5690675,5.2308054,14.796021
plr-i,ck67hg9v,2010,4.5315747,1.9285159,2.5793488,5.161891,14.835293
plr-i,ck67hg9v,2110,4.644338,1.9168233,2.6438513,5.157173,14.864557
plr-i,ck67hg9v,2210,4.663124,1.9314846,2.7156758,5.1600714,14.521016
plr-i,ck67hg9v,2310,4.604951,1.8877894,2.753552,5.146557,14.857686
plr-i,ck67hg9v,2410,4.6349716,1.8746302,2.775526,5.0993376,15.064346
plr-i,ck67hg9v,2510,4.650404,1.9011545,2.744219,5.0018167,14.884433
plr-i,ck67hg9v,2610,4.5792494,1.911176,2.719148,5.2001953,14.811516
plr-i,ck67hg9v,2710,4.5074067,1.8980227,2.7192,5.03158,14.344455
plr-i,ck67hg9v,2810,4.487932,1.812974,2.763417,5.150996,14.806871
plr-i,ck67hg9v,2910,4.484189,1.9099255,2.6760855,4.9776545,14.797849
plr-i,ck67hg9v,3000,4.4656353,1.8065443,2.6964073,4.944606,14.83955
plr-i,np5n4zlf,10,3.9515035,1.4476185,2.4643927,2.81219,7.241126
plr-i,np5n4zlf,110,4.1723213,1.5336177,2.6481745,4.242854,11.580492
plr-i,np5n4zlf,210,4.2608385,1.6200972,2.5925927,4.162069,11.753412
plr-i,np5n4zlf,310,4.140535,1.6592106,2.5504842,4.511985,12.746762
plr-i,np5n4zlf,410,3.9689136,1.5837775,2.4227467,4.722813,13.668466
plr-i,np5n4zlf,510,4.08759,1.64795,2.5152612,4.7655993,13.726164
plr-i,np5n4zlf,610,4.133253,1.6768055,2.467111,4.947175,14.140413
plr-i,np5n4zlf,710,4.160457,1.6688249,2.5436385,5.013669,14.501251
plr-i,np5n4zlf,810,4.0800056,1.6471891,2.4327345,4.962781,14.400569
plr-i,np5n4zlf,910,4.0892262,1.7325027,2.3988664,5.0679674,14.092411
plr-i,np5n4zlf,1010,4.217316,1.7162114,2.50701,5.115979,14.767683
plr-i,np5n4zlf,1110,4.1658125,1.6723833,2.5076985,4.9102163,14.33143
plr-i,np5n4zlf,1210,4.3885183,1.8089466,2.5846674,4.9258113,14.563505
plr-i,np5n4zlf,1310,4.412116,1.7682774,2.561669,4.859483,14.355461
plr-i,np5n4zlf,1410,4.497447,1.8294032,2.635614,4.9636827,14.547535
plr-i,np5n4zlf,1510,4.3643556,1.8619553,2.5502477,5.1043034,14.822727
plr-i,np5n4zlf,1610,4.3719993,1.8644423,2.548928,5.1730337,15.029264
plr-i,np5n4zlf,1710,4.3312216,1.76053,2.5840046,4.9942765,14.716869
plr-i,np5n4zlf,1810,4.3829613,1.9064436,2.5946689,4.978896,14.39699
plr-i,np5n4zlf,1910,4.42749,1.887548,2.557917,5.0980434,14.970995
plr-i,np5n4zlf,2010,4.462576,1.8970969,2.5734925,4.9889812,14.64144
plr-i,np5n4zlf,2110,4.4969187,1.8254762,2.6406379,4.9404235,14.657145
plr-i,np5n4zlf,2210,4.5014324,1.8844519,2.585167,5.1154246,15.021638
plr-i,np5n4zlf,2310,4.6475554,1.881043,2.7324584,4.859626,14.25468
plr-i,np5n4zlf,2410,4.5705867,1.8713741,2.7132306,4.921197,14.468932
plr-i,np5n4zlf,2510,4.4968123,1.8534243,2.604398,5.0382614,15.106775
plr-i,np5n4zlf,2610,4.6264114,1.898405,2.7381659,5.0430775,14.936122
plr-i,np5n4zlf,2710,4.620542,1.8860543,2.84656,5.2360516,15.450861
plr-i,np5n4zlf,2810,4.66115,1.9718515,2.8306081,4.9043255,14.119395
plr-i,np5n4zlf,2910,4.7596817,2.1262317,2.8723493,5.103864,14.729611
plr-i,np5n4zlf,3000,4.7054696,2.1122403,2.8150218,5.1231456,15.241192
plr-c,n860hpj8,10,3.7295816,1.414769,2.234154,2.3262765,5.334235
plr-c,n860hpj8,110,4.680725,1.4754876,3.1996098,3.8872495,10.97299
plr-c,n860hpj8,210,5.069166,1.3764784,3.7288527,4.5433955,11.710049
plr-c,n860hpj8,310,5.0241594,1.3300102,3.7240705,4.767345,12.445697
plr-c,n860hpj8,410,5.0017776,1.3468804,3.6860328,4.9828076,13.425203
plr-c,n860hpj8,510,5.183138,1.4507579,3.7947035,4.869624,13.78546
plr-c,n860hpj8,610,5.247147,1.5097889,3.8132405,4.9013095,13.988258
plr-c,n860hpj8,710,5.1898584,1.4392576,3.8175137,5.108238,14.616701
plr-c,n860hpj8,810,5.3185835,1.497773,3.9013672,5.195291,14.49707
plr-c,n860hpj8,910,5.2683954,1.519057,3.8404615,5.1911116,14.605843
plr-c,n860hpj8,1010,5.260161,1.5098224,3.8331573,5.2280693,14.754994
plr-c,n860hpj8,1110,5.358965,1.5386664,3.9087248,5.079114,14.771166
plr-c,n860hpj8,1210,5.3633757,1.5169057,3.9515731,5.3063297,15.402683
plr-c,n860hpj8,1310,5.3391967,1.5369724,3.8912456,5.314189,15.284119
plr-c,n860hpj8,1410,5.400733,1.501234,3.980524,5.0543156,14.773045
plr-c,n860hpj8,1510,5.2909155,1.554363,3.828906,5.317932,15.4191475
plr-c,n860hpj8,1610,5.3668947,1.6684141,3.8424594,5.2364316,15.005802
plr-c,n860hpj8,1710,5.406209,1.7422391,3.8116279,5.3452864,15.472472
plr-c,n860hpj8,1810,5.416087,1.65021,3.90092,5.2795744,15.200922
plr-c,n860hpj8,1910,5.4073043,1.6975063,3.8369942,5.308069,15.253148
plr-c,n860hpj8,2010,5.4191294,1.7312016,3.8631203,5.3743796,15.25906
plr-c,n860hpj8,2110,5.416593,1.80391,3.8068504,5.357624,15.1914425
plr-c,n860hpj8,2210,5.42955,1.8321124,3.8197722,5.411868,15.683354
plr-c,n860hpj8,2310,5.4252014,1.731398,3.846849,5.369056,15.307493
plr-c,n860hpj8,2410,5.4149384,1.7648424,3.8217237,5.416703,15.623676
plr-c,n860hpj8,2510,5.456029,1.7867627,3.853978,5.23746,14.910347
plr-c,n860hpj8,2610,5.457818,1.7751036,3.873897,5.188366,14.971399
plr-c,n860hpj8,2710,5.4835863,1.7316717,3.9119937,5.2498693,14.918022
plr-c,n860hpj8,2810,5.4457536,1.7570881,3.8854904,5.2522554,14.778583
plr-c,n860hpj8,2910,5.471528,1.7527673,3.9019682,5.2620335,14.750507
plr-c,n860hpj8,3000,5.4916077,1.6940622,3.9548857,5.322366,15.029092
plr-c,pgj5zue9,10,3.8121815,1.5531479,2.2957416,1.872524,5.2546425
plr-c,pgj5zue9,110,4.667286,1.5729774,3.1126552,4.234479,11.821532
plr-c,pgj5zue9,210,4.84578,1.3587968,3.5186276,4.610867,11.762207
plr-c,pgj5zue9,310,5.0457754,1.4471877,3.6513104,4.9812703,12.655864
plr-c,pgj5zue9,410,5.0891647,1.5095372,3.6512218,5.100438,13.151653
plr-c,pgj5zue9,510,5.3089113,1.4905114,3.895269,5.126647,13.81678
plr-c,pgj5zue9,610,5.337237,1.4955238,3.9414535,5.222766,14.647074
plr-c,pgj5zue9,710,5.2909956,1.4989855,3.87702,5.171997,14.850401
plr-c,pgj5zue9,810,5.2997956,1.5635885,3.8328505,5.281569,15.203283
plr-c,pgj5zue9,910,5.3475637,1.5283251,3.9129176,5.244213,15.175449
plr-c,pgj5zue9,1010,5.2829313,1.663606,3.7725594,5.251364,15.217672
plr-c,pgj5zue9,1110,5.3449807,1.5511699,3.8797033,5.3680716,15.707393
plr-c,pgj5zue9,1210,5.356041,1.5940899,3.8905158,5.294325,15.38636
plr-c,pgj5zue9,1310,5.3761053,1.6861476,3.8324301,5.2463856,15.2753525
plr-c,pgj5zue9,1410,5.2739253,1.6518962,3.7792068,5.272994,15.128551
plr-c,pgj5zue9,1510,5.3801656,1.6668198,3.8601456,5.20739,14.593608
plr-c,pgj5zue9,1610,5.3812766,1.7502651,3.8291588,5.377509,15.309214
plr-c,pgj5zue9,1710,5.4193974,1.6853878,3.8844,5.3342295,15.301748
plr-c,pgj5zue9,1810,5.3869085,1.698311,3.8492734,5.423981,15.338245
plr-c,pgj5zue9,1910,5.3698044,1.793511,3.775133,5.501631,15.422139
plr-c,pgj5zue9,2010,5.4167995,1.8250535,3.7985528,5.496284,15.500784
plr-c,pgj5zue9,2110,5.4044456,1.7033706,3.8454092,5.502283,15.629169
plr-c,pgj5zue9,2210,5.4051256,1.6879306,3.858335,5.490673,15.65781
plr-c,pgj5zue9,2310,5.427924,1.7293872,3.8368702,5.4916162,15.271076
plr-c,pgj5zue9,2410,5.424639,1.7182618,3.870585,5.4823456,15.544361
plr-c,pgj5zue9,2510,5.435176,1.7656777,3.8571162,5.4461164,15.679816
plr-c,pgj5zue9,2610,5.417036,1.7451621,3.8522415,5.519403,15.952017
plr-c,pgj5zue9,2710,5.4034643,1.7484853,3.8405643,5.5075693,15.99205
plr-c,pgj5zue9,2810,5.459174,1.8881598,3.8089442,5.45313,15.5446825
plr-c,pgj5zue9,2910,5.4721084,1.9066086,3.7884653,5.327242,15.515499
plr-c,pgj5zue9,3000,5.471634,1.8432037,3.8695335,5.2664948,15.417445
plr-c,g6y8ubcq,10,3.5293393,1.1904088,2.3626282,2.594782,5.8267136
plr-c,g6y8ubcq,110,4.9214463,1.363953,3.5740175,4.4193454,11.08198
plr-c,g6y8ubcq,210,5.002489,1.5126475,3.5874314,4.879174,12.949385
plr-c,g6y8ubcq,310,5.0683413,1.4322022,3.7094207,5.1223965,13.651879
plr-c,g6y8ubcq,410,5.0764437,1.4036741,3.722753,5.003625,13.854741
