experiment,run_id,step,states,rooms,objects
plr-i,t9tu0kn3,510,3.0678601,4.9304338,14.247779
plr-i,t9tu0kn3,610,3.1329262,4.9829884,14.74
plr-i,t9tu0kn3,710,3.0323963,5.0146074,14.857975
plr-i,t9tu0kn3,810,2.9388335,5.113409,15.117294
plr-i,t9tu0kn3,910,2.9525127,5.1529636,15.356505
plr-i,t9tu0kn3,1010,3.0235472,5.039157,14.98103
plr-i,t9tu0kn3,1110,3.1489158,5.1661143,15.137118
plr-i,t9tu0kn3,1210,2.9553723,5.225725,15.537912
plr-i,t9tu0kn3,1310,3.1375537,5.4413004,16.022009
plr-i,t9tu0kn3,1410,3.3868756,5.379191,15.7224655
plr-i,t9tu0kn3,1510,3.322272,5.378334,15.775165
plr-i,t9tu0kn3,1610,3.4675753,5.4577155,15.927368
plr-i,t9tu0kn3,1710,3.4726813,5.484642,15.814373
plr-i,t9tu0kn3,1810,3.565956,5.4883733,16.137169
plr-i,t9tu0kn3,1910,3.419094,5.425681,15.602116
plr-i,t9tu0kn3,2000,3.418327,5.412511,15.898177
plr-c,ugmee93s,10,3.1870966,1.901319,5.14124
plr-c,ugmee93s,110,4.7359233,3.962195,10.022558
plr-c,ugmee93s,210,5.076293,4.697739,11.850174
plr-c,ugmee93s,310,5.175967,4.71545,12.603845
plr-c,ugmee93s,410,5.3090196,4.7109737,12.9855585
plr-c,ugmee93s,510,5.386174,4.709261,13.357937
plr-c,ugmee93s,610,5.4441624,4.82572,13.61736
plr-c,ugmee93s,710,5.4559517,4.934867,13.819077
plr-c,ugmee93s,810,5.464558,5.314668,14.860999
plr-c,ugmee93s,910,5.510542,5.328508,15.016857
plr-c,ugmee93s,1010,5.5038,5.322305,14.891413
plr-c,ugmee93s,1110,5.5143747,5.3810673,14.942517
plr-c,ugmee93s,1210,5.4835696,5.3853106,15.503943
plr-c,ugmee93s,1310,5.4993505,5.425044,15.191433
plr-c,ugmee93s,1410,5.522632,5.4446917,15.242788
plr-c,ugmee93s,1510,5.520162,5.4517946,15.58741
plr-c,ugmee93s,1610,5.526505,5.424078,15.818865
plr-c,ugmee93s,1710,5.5596867,5.5129523,15.9577675
plr-c,ugmee93s,1810,5.5325828,5.4053073,15.704594
plr-c,ugmee93s,1910,5.5603895,5.538396,16.158672
plr-c,ugmee93s,2000,5.5345488,5.5064793,16.201885
plr-c,z7vslybv,10,3.2967672,2.8290744,6.0480776
plr-c,z7vslybv,110,4.83547,4.2188187,11.249718
plr-c,z7vslybv,210,5.1068196,4.773975,12.515347
plr-c,z7vslybv,310,5.2592597,5.130488,12.605982
plr-c,z7vslybv,410,5.3110304,4.994034,13.527883
plr-c,z7vslybv,510,5.3660583,5.0012875,14.389656
plr-c,z7vslybv,610,5.4207215,5.0061464,14.29957
plr-c,z7vslybv,710,5.4532585,5.026882,14.740406
plr-c,z7vslybv,810,5.4653854,5.210667,15.174267
plr-c,z7vslybv,910,5.4707594,5.266473,15.059111
plr-c,z7vslybv,1010,5.447193,5.3638506,15.536944
plr-c,z7vslybv,1110,5.4880238,5.2743473,15.105749
plr-c,z7vslybv,1210,5.4878073,5.221031,14.669384
plr-c,z7vslybv,1310,5.511974,5.295228,14.960762
plr-c,z7vslybv,1410,5.5354104,5.358509,15.011221
plr-c,z7vslybv,1510,5.5351424,5.4430647,15.318924
plr-c,z7vslybv,1610,5.520136,5.372009,15.155254
plr-c,z7vslybv,1710,5.525676,5.4960957,15.627474
plr-c,z7vslybv,1810,5.512312,5.5231304,15.740717
plr-c,z7vslybv,1910,5.5547934,5.5630755,15.872065
plr-c,z7vslybv,2000,5.5484514,5.576788,15.884645
plr-c,7mijtj8l,10,3.4449706,1.8793036,4.580085
plr-c,7mijtj8l,110,4.6755843,3.9876134,9.882694
plr-c,7mijtj8l,210,5.112257,4.608941,11.942205
plr-c,7mijtj8l,310,5.1650553,4.694951,12.541693
plr-c,7mijtj8l,410,5.3052626,4.850991,13.319949
plr-c,7mijtj8l,510,5.296667,4.9986057,13.83939
plr-c,7mijtj8l,610,5.4290056,4.744254,13.599581
plr-c,7mijtj8l,710,5.3645735,5.02852,14.634949
plr-c,7mijtj8l,810,5.425376,5.052438,14.337359
plr-c,7mijtj8l,910,5.4509077,5.199837,14.888855
plr-c,7mijtj8l,1010,5.5218344,5.004204,14.191668
plr-c,7mijtj8l,1110,5.5145607,5.182871,14.609201
plr-c,7mijtj8l,1210,5.507968,5.1435876,14.43713
plr-c,7mijtj8l,1310,5.4911647,5.279292,15.4112
plr-c,7mijtj8l,1410,5.505435,5.0990205,14.828138
plr-c,7mijtj8l,1510,5.5486145,5.2248363,14.823088
plr-c,7mijtj8l,1610,5.550964,5.34079,15.179237
plr-c,7mijtj8l,1710,5.5607414,5.310664,15.267864
