algorithm;run_id;step;num_valid;num_total;percent
seq-accel_scratch-i;ixyglfmw;510;47989;50000;0.9597799777984619
seq-accel_scratch-i;kvrpae6o;1010;49916;50000;0.9983199834823608
seq-accel_scratch-i;kvrpae6o;10;203;32768;0.006195068359375
seq-accel_scratch-i;kvrpae6o;1510;49913;50000;0.9982600212097168
seq-accel_scratch-i;kvrpae6o;2000;49915;50000;0.9983000159263611
seq-accel_scratch-i;kvrpae6o;510;48267;50000;0.9653400182723999
seq-accel_scratch-i;yggdrc7i;1010;49937;50000;0.998740017414093
seq-accel_scratch-i;yggdrc7i;10;202;32768;0.00616455078125
seq-accel_scratch-i;yggdrc7i;1510;49931;50000;0.9986199736595154
seq-accel_scratch-i;yggdrc7i;2000;49903;50000;0.9980599880218506
seq-accel_scratch-i;yggdrc7i;510;48524;50000;0.9704800248146057
seq-accel_scratch-i;yx0ntfz8;1010;49883;50000;0.9976599812507629
seq-accel_scratch-i;yx0ntfz8;10;272;32768;0.00830078125
seq-accel_scratch-i;yx0ntfz8;1510;49883;50000;0.9976599812507629
seq-accel_scratch-i;yx0ntfz8;2000;49911;50000;0.9982200264930725
seq-accel_scratch-i;yx0ntfz8;510;46872;50000;0.9374399781227112
